gene;004 Control R_2016_10_19;008 Control R_2016_10_20;
Tff3;2.07210959535687E-07;1.11618851277161E-07;
Tff2;0;0;
Tff1;0;0;
Tmprss3;0;0;
Ubash3a;0;0;
Rsph1;0.0000048467777425723;8.83865554880782E-07;
Slc37a1;0;1.55314603133725E-07;
Pde9a;4.62616507918605E-06;5.35467644285826E-06;
Wdr4;4.99986643655762E-08;0;
Ndufv3;0.0000251807706349188;0.0000185533892907794;
Pknox1;0.0000023411745726644;9.11986583303322E-07;
Cbs;0.0000022587025489686;3.48700752439505E-06;
U2af1;3.95092538517672E-06;0.0000040035691849568;
Cryaa;0;0;
LOC102554931;0;8.04694044091167E-08;
Sik1;8.13380333699786E-07;8.62666625762251E-07;
Hsf2bp;1.52573243837222E-07;0;
Rrp1b;2.15355071875646E-06;2.04288455709596E-06;
RGD1566085;1.02419944427216E-06;1.18584213701822E-06;
Pdxk;6.30292441095119E-06;6.38779976398176E-06;
Cstb;0.0000126548165859717;0.0000109139874463913;
Rrp1;3.95968803769439E-06;5.34905223717375E-06;
LOC108353238;1.70098548872578E-07;1.88627206034273E-07;
Agpat3;0.0000214401489101664;0.0000142720708712492;
Trappc10;0.0000152294900757249;0.0000135742367351636;
Pwp2;1.03760114812273E-06;1.34288726497794E-06;
RGD1303003;9.50283893034808E-06;0.0000100162776929025;
Icoslg;0.0000103553934753033;6.81480676479788E-06;
Dnmt3l;0;0;
Aire;0;0;
Pfkl;8.47967038637211E-06;0.0000112263471774847;
RGD1309594;0.0000113125844003227;8.60936100936248E-06;
Trpm2;1.56490664962772E-06;2.84671333877412E-07;
Lrrc3;0.0000018154154216037;2.76581130315851E-06;
Tspear;0;0;
LOC100365646;0;0;
LOC689927;0;0;
LOC690386;0;0;
RGD1561557;0;0;
LOC690415;0;0;
LOC690425;0;0;
LOC690431;0;0;
LOC686720;0;0;
LOC687631;0;0;
LOC690460;0;0;
LOC103694397;0;0;
Krtap12-2;0;0;
LOC100361664;0;0;
LOC100361793;0;0;
LOC100361702;0;0;
LOC100361739;0;0;
LOC103694398;0;0;
LOC690478;0;0;
Ube2g2;5.50655393213867E-06;2.97563743831131E-06;
Sumo3;7.16784975946085E-06;6.44750287047885E-06;
Pttg1ip;0.0000103600325266362;6.94546138916107E-06;
Itgb2;2.74271023803331E-06;0.0000019368899115033;
Fam207a;4.90193090841886E-07;3.11927099886952E-07;
Adarb1;0.0000134346926600451;0.0000128660194501221;
Pofut2;6.16993827274172E-06;3.78033148240248E-06;
Col18a1;0.0000252972623683891;4.28564473159521E-06;
Slc19a1;9.98014576748749E-06;5.40140061316033E-06;
Pcbp3;7.93277777923936E-06;5.62939725898616E-06;
Col6a1;0.0000439910928894856;6.46091443788037E-06;
Col6a2;0.0000414468309584703;0.0000130481571880589;
Ftcd;0;0;
Spatc1l;0;4.36957518565633E-08;
Lss;1.40357075327282E-06;1.22650947042927E-06;
Mcm3ap;0.0000179618913107962;0.0000187398533407811;
Ybey;1.00512778879251E-07;8.26325604416198E-08;
RGD1564149;5.23645805453493E-06;3.21444986429966E-07;
Pcnt;7.76731828169967E-06;2.51964414665965E-06;
Dip2a;4.70399805154895E-06;2.94016167937826E-06;
S100b;0.000100184437134912;0.0000712707996965003;
Prmt2;0.0000048462622924242;6.23421568567404E-06;
LOC108348157;0;9.8639915082143E-08;
LOC103690052;0;0;
Slc5a4;0;0;
Slc5a4b;0;0;
Zfp280b;2.36076167829215E-06;1.82354053540014E-06;
RGD1563815;0;0;
Vpreb3;7.04104902302857E-07;4.72433277498685E-07;
RGD1564162;0.0000108368239136275;1.31736202379441E-06;
Chchd10;6.23900859258695E-06;2.37903900454695E-06;
Mmp11;4.85038589360899E-07;1.23732525059179E-07;
Smarcb1;0.0000080781347210032;5.88551493323453E-06;
Derl3;8.04102231034009E-07;2.03033825210744E-06;
Mif;0.0000110625910784948;0.0000106167698075254;
Gstt2;1.86696043641357E-06;4.51666979586655E-07;
Gstt4;0;0;
Gstt1;2.87672727653897E-06;9.56547597572887E-07;
Gstt3;3.76948693304597E-06;2.88089120408767E-06;
Ddt;0.0000593520227529756;0.0000554750017159559;
Cabin1;0.000012473378133841;9.73333688385111E-06;
Susd2;5.71118764093386E-07;7.02160448150518E-07;
Ggt5;7.26784708819201E-08;6.2731524942591E-08;
Ggt1;2.10819110572378E-07;5.48143738636295E-07;
Lrrc75b;0.0000031097107434796;1.47916609502564E-06;
Snrpd3;8.31163363809192E-06;0.0000103260416367569;
Gucd1;3.65866515120474E-06;1.75129112391454E-06;
Upb1;0;0;
Adora2a;1.45872391911938E-07;1.07552117936056E-06;
Specc1l;0.0000333192130232496;0.0000262793173764676;
Bcr;0.0000185788851380704;0.0000190760077882321;
Rab36;1.01543679175448E-07;3.38750234689991E-07;
Rtdr1;1.62624521725147E-06;2.28429277032331E-07;
Gnaz;0.0000139037522948149;0.000026903604207448;
Pcdh15;0;0;
LOC103694424;8.98429608136076E-07;0.000001381824073563;
NEWGENE_1590969;4.05659266553695E-07;4.23545951164114E-07;
Zwint;0.0000496352720111666;0.000254416568344411;
RGD1559903;5.25759151060698E-08;0;
LOC100364062;0.000165045591070767;0.000170432035382476;
Ipmk;4.70812165273374E-06;4.71351699482433E-06;
LOC103694404;2.97105465364104E-06;4.45739932057596E-06;
Cisd1;7.22712652649221E-06;9.48673709614576E-06;
Ube2d1;1.3710973939426E-07;9.5178865430138E-09;
Tfam;0.0000025019950188712;2.08874346498503E-06;
Bicc1;8.27555212772501E-06;2.40672740176299E-06;
Phyhipl;0.0000224045561372591;0.0000464174347766588;
Fam13c;0.0000018545896328592;2.68101558668438E-06;
Slc16a9;0.000001451507617046;1.49690397449217E-06;
Mrln;8.24720236957958E-09;7.09515178661029E-08;
Ccdc6;2.42983199813738E-06;3.15561202021557E-06;
LOC108349054;4.63905133288851E-07;1.32385149189192E-07;
Ank3;0.0000122135912591992;0.000055172592502612;
Cdk1;5.01120633981579E-06;5.16129029355248E-07;
Rhobtb1;5.57613970213199E-06;3.36154447450987E-06;
RGD1306739;0;1.75215638632754E-07;
Tmem26;3.90711212258832E-07;1.55747234340225E-07;
Arid5b;0.0000358041981872335;0.0000240036772302743;
Rtkn2;9.71623529166095E-07;9.68661271354905E-07;
Zfp365;0.0000106626017635702;0.0000249991616364322;
Ado;6.24622489466034E-06;9.39026033709612E-06;
Egr2;2.68446437129815E-06;4.94540732150867E-06;
Nrbf2;4.64987578599859E-06;5.38625852093281E-06;
Jmjd1c;0.000042270520295132;0.0000269572504770541;
Reep3;0;5.4511532019079E-08;
RGD1566373;9.27810266577703E-09;9.5178865430138E-09;
LOC108353251;0;0;
Ctnna3;8.04102231034009E-08;0;
Lrrtm3;3.55557512158499E-06;8.43674115796873E-06;
LOC108349010;8.74461176249485E-06;4.85931371141504E-06;
Herc4;1.74428330116608E-06;1.37273881822649E-06;
Sirt1;9.82447982276168E-07;2.05413296846497E-06;
Dnajc12;9.42242870724467E-07;5.18292185387751E-07;
Mypn;0;3.12359731093453E-07;
Atoh7;0;4.80220639215696E-08;
Pbld1;6.03076673275507E-08;4.84546951280702E-08;
Pbld2;2.16489062201464E-08;0;
Hnrnph3;7.17506606153424E-07;4.87142738519706E-07;
LOC100910755;6.69569742380242E-07;3.13224993506454E-07;
LOC100910795;9.86571583460958E-07;3.71630206384039E-07;
Rufy2;6.04107573571704E-07;1.02533595940648E-07;
Slc25a16;1.24584300795461E-06;1.52805342136021E-06;
Tet1;0.0000094930453775342;0.0000153038962987532;
Rwdd1;8.14926684144083E-07;1.02922964026499E-06;
Fam26d;4.91223991138084E-07;1.68899223017845E-06;
Trappc3l;8.51008194510993E-07;0;
Fam26e;1.24223485691792E-07;0;
Fam26f;3.72155006927278E-07;2.10691397565805E-07;
Dse;0.0000379247600965117;0.0000149525997590746;
